ID,Prev crop,PU?,Year,State,CRD,County,Location,Fld,Latitude,Longitude,Sandy?,Muck?,Soil texture,Soil assoc.,Manure,Irrig,Hybrid,Plt date,Ntiming,Nsource,Model,a,b,c,AONR,Opt. yld,R-sq,EONR
NR-001,Soy,yes,2006,IN,WC,Tippecanoe,ACRE - 93,Fld 93,40.485245,-87.00806022,no,no,SiCL,Chalmers,no,no,P34A19,25-Apr,24-May,UAN,QP,133.1,8.93E-01,-2.71E-03,164.7,207,0.99,144
NR-002,Soy,no,2006,IN,SE,Ripley,Back,,,,no,no,Unknown,Unknown,no,no,,,SD,,QP,30.1683,1.8817,-5.61E-03,167.7,188,,158
NR-003,Soy,no,2006,IN,C,Hamilton,Becks A3,,,,no,no,SiL,"Crosby, Miami",no,no,,,SD,UAN,CR,-,-,-,-,-,,
NR-004,Soy,no,2006,IN,C,Hamilton,Becks K,,,,no,no,SiCL,Brookston,no,no,,,SD,UAN,QP,131.6,0.9642,-3.03E-03,159.2,208,,141
NR-005,Soy,no,2006,IN,SW,Gibson,Becks SW - Preplt,,,,no,no,SiL,Uniontown / Ragsdale,no,no,,,Preplt,NH3,QP,135.9,0.395,-9.00E-04,204,179,,157
NR-006,Corn,no,2006,IN,SW,Gibson,Becks SW - Preplt,,,,no,no,SiL,Uniontown / Ragsdale,no,no,,,Preplt,NH3,QP,156.5,0.5769,-1.15E-03,204,226.3,,202
NR-007,Soy,no,2006,IN,SW,Gibson,Becks SW - V3,,,,no,no,SiL,Uniontown / Ragsdale,no,no,,,SD,UAN,QP,133.8,0.8596,-3.25E-03,132.2,191,,115
NR-008,Corn,no,2006,IN,SW,Gibson,Becks SW - V3,,,,no,no,SiL,Uniontown / Ragsdale,no,no,,,SD,UAN,QP,158,0.5327,-1.04E-03,204,223.4,,202
NR-009,Soy,no,2006,IN,SW,Gibson,Becks SW - V6,,,,no,no,SiL,Uniontown / Ragsdale,no,no,,,SD,UAN,QP,132.2,1.096,-4.19E-03,130.7,204,,117
NR-010,Corn,no,2006,IN,SW,Gibson,Becks SW - V6,,,,no,no,SiL,Uniontown / Ragsdale,no,no,,,SD,UAN,QP,154.2,0.6238,-1.49E-03,204,219.4,,172
NR-011,Soy,no,2006,IN,SW,Vigo,Ceres Soln,,,,no,no,SiL,Iva,no,no,,,SD,,QP,9.7135,1.8059,-4.65E-03,194,185,,182
NR-012,Soy,no,2006,IN,C,Grant,Devore,,,,no,no,Unknown,Unknown,no,no,,,SD,,QP,61.1346,0.9723,-2.31E-03,210.5,163,,186
NR-013,Soy,yes,2006,IN,EC,Randolph,DPAC - N,N,40.24350198,-85.149858,no,no,"SiL, SiCL",Blount/Pewamo,no,no,P34A19,31-May,17-Jun,UAN,QP,41.8571,1.2197,-2.83E-03,200,172.6,,196
NR-014,Soy,no,2006,IN,C,Hendricks,Edmundson,,,,no,no,L,Rensselaer,no,no,,,SD,UAN,QP,74.0694,1.4063,-3.90E-03,180.2,201,,166
NR-015,Soy,yes,2006,IN,SC,Lawrence,Feldun,,,,no,no,SiL,"Muren, Bedford",no,no,,,SD,UAN,QP,75.7181,0.9568,-2.73E-03,175.5,160,,155
NR-016,Corn,no,2006,IN,SW,KY,Folz,,,,no,no,SiL,Pembroke,no,no,,,SD,,QP,132.4,0.5372,-1.26E-03,204,189.6,,169
NR-017,Soy,no,2006,IN,WC,White,Kretzmeier,,,,no,no,SiCL,Chalmers,no,no,,22-Apr,SD,UAN,NR,-,-,-,100,195,,
NR-018,Soy,no,2006,IN,WC,White,Kretzmeier,,,,no,no,SiL,Toronto,no,no,,22-Apr,SD,UAN,NR,-,-,-,100,194,,
NR-019,Soy,no,2006,IN,WC,White,Kretzmeier,,,,no,no,SiL,Wingate,no,no,,22-Apr,SD,UAN,NR,-,-,-,100,186,,
NR-020,Soy,no,2006,IN,SE,Decatur,Kunz,,,,no,no,SiL,"Clermont, Avonburg, Rossmoyne",no,no,,,SD,UAN,QP,120.1,0.9417,-3.98E-03,118.3,176,,104
NR-021,Soy,yes,2006,IN,NE,Whitley,NEPAC - L5,L5,41.11445726,-85.44242263,no,no,"SiL, L, SL","Blount, Mermill+Haskins, Boyer+Rawson",no,no,P34A19,27-Apr,3-Jun,UAN,QP,79.3822,0.9935,-2.10E-03,229,196.8,,210
NR-022,Soy,yes,2006,IN,NE,Whitley,NEPAC - S6,S6,,,no,no,"L, CL","Glynwood, Morley",no,no,P34D72,24-Apr,SD,UAN,QP,41.961,1.4287,-3.49E-03,204.6,188,,189
